 INFO  Accepting connections at http://localhost:3000
 HTTP  4/2/2026 5:06:11 AM ::1 GET /index.html
 HTTP  4/2/2026 5:06:11 AM ::1 Returned 301 in 365 ms
 HTTP  4/2/2026 5:06:11 AM ::1 GET /index
 HTTP  4/2/2026 5:06:11 AM ::1 Returned 301 in 1 ms
 HTTP  4/2/2026 5:06:11 AM ::1 GET /
 HTTP  4/2/2026 5:06:11 AM ::1 Returned 200 in 18 ms
 HTTP  4/2/2026 5:06:15 AM ::1 GET /admin.html
 HTTP  4/2/2026 5:06:15 AM ::1 Returned 301 in 1 ms
 HTTP  4/2/2026 5:06:15 AM ::1 GET /admin
 HTTP  4/2/2026 5:06:15 AM ::1 Returned 200 in 5 ms
